1,Thinking Fast and Slow,Daniel Kahneman,"A groundbreaking tour of the mind and explains the two systems that drive the way we think"
2,Redirect,Timothy D Wilson,"How to redirect the stories we tell about ourselves and the world around us, with subtle prompts, in ways that lead to lasting change"
3,Milk and Honey,Rupi Kaur,"A collection of poetry and prose about survival. About the experience of violence, abuse, love, loss, and femininity."
4,Grasshopper Jungle,Andrew Smith,"The story of how sixteen-year-old Austin Szerba and his best friend, Robby, brought about the end of humanity and the rise of an army of unstoppable, six-foot tall praying mantises in small-town Iowa."
5,Interactive Data Visualization for the Web,Scott Murray,"This step-by-step guide to data visualization is ideal whether you�re a designer or visual artist with no programming experience, a reporter exploring the new frontier of data journalism, or anyone who wants to visualize and share data."
