1,Lemonade,Beyonce,"Lemonade is Blonde on Blonde for the women who know how to get that perfect shade, Exile on Main Street for the communities of color who've felt the effects of internal American exile their whole lives."
2,A Moon Shaped Pool,Radiohead,"A reflection on where the band finds itself after reaching middle age with 30 years of making music behind it."
3,Promise,Emily Wells,"A sort of ambient gospel-folk music that's immersed in secular desires and experiences."
4,Epic,Sharon Van Etten,"A romantic melancholy lining over the gravel and dirt of heartbreak, without one honest thought or feeling spared."
